Reading 1,Reading 2,Reading 3,Reading 4,Label
246,236,137,142,empty
246,236,137,142,empty
246,236,137,142,empty
246,236,137,142,empty
245,236,137,142,empty
245,236,137,141,empty
246,235,137,142,empty
245,235,137,141,empty
245,235,137,141,empty
245,236,137,141,empty
245,235,136,141,empty
245,235,137,141,empty
245,236,137,141,empty
245,235,137,141,empty
246,235,137,142,empty
245,236,137,141,empty
245,236,137,141,empty
245,236,137,141,empty
246,235,137,141,empty
245,236,137,141,empty
245,236,137,142,empty
245,235,137,141,empty
245,235,136,142,empty
245,236,137,141,empty
246,236,137,142,empty
246,236,137,142,empty
246,236,137,142,empty
246,235,137,141,empty
246,235,137,141,empty
245,236,137,142,empty
246,235,137,141,empty
245,236,137,141,empty
245,235,136,141,empty
245,236,137,142,empty
245,235,136,141,empty
245,236,137,141,empty
245,236,137,142,empty
245,235,137,142,empty
245,236,137,141,empty
246,235,137,141,empty
246,235,137,141,empty
245,235,136,141,empty
245,235,137,141,empty
245,235,137,141,empty
245,236,137,140,empty
245,235,136,141,empty
245,235,136,141,empty
245,235,136,141,empty
245,235,136,141,empty
245,235,136,140,empty
245,235,136,141,empty
245,235,136,140,empty
245,235,136,140,empty
244,235,136,140,empty
244,234,135,139,empty
245,235,136,140,empty
244,235,135,140,empty
245,235,136,140,empty
245,235,135,140,empty
245,235,136,141,empty
244,234,135,140,empty
244,234,135,140,empty
244,235,135,141,empty
244,234,135,139,empty
246,236,137,141,empty
246,236,137,141,empty
245,236,137,141,empty
246,235,137,141,empty
246,236,137,142,empty
245,235,136,141,empty
245,235,136,141,empty
245,236,136,141,empty
245,236,136,141,empty
245,235,136,140,empty
245,235,136,141,empty
245,235,136,141,empty
245,235,136,140,empty
245,235,136,141,empty
245,235,136,141,empty
245,235,136,140,empty
244,235,135,140,empty
245,235,136,140,empty
245,235,136,140,empty
245,235,136,140,empty
245,235,136,140,empty
245,235,136,140,empty
245,234,136,140,empty
244,234,136,139,empty
244,234,135,139,empty
244,234,135,139,empty
244,234,135,139,empty
